Date,SP,DJI
2017-01-04,0.005705963770549438,0.003033374768596674
2017-01-05,-0.0007709676024811847,-0.002152085887286685
2017-01-06,0.0035107891805790594,0.0032366670682909345
2017-01-09,-0.003554905471559629,-0.0038352697411946084
2017-01-10,0.0,-0.0016028805738816424
2017-01-11,0.0028256423891019514,0.004961099087314867
2017-01-12,-0.002147112393729617,-0.0031762533073690243
2017-01-13,0.0018481313951466559,-0.00026495547616552193
2017-01-17,-0.0029719144562184454,-0.0029693915428616827
2017-01-18,0.0017622004698093201,-0.00111269247103586
2017-01-19,-0.003615837624319374,-0.0036583540307381234
2017-01-20,0.0033605840612999428,0.004795279543251329
2017-01-23,-0.002693749646069815,-0.0013829119598412418
2017-01-24,0.006543140528962317,0.005683926214865651
2017-01-25,0.007994052795968681,0.007793639813725152
2017-01-26,-0.0007356549352631034,0.0016131872312074508
2017-01-27,-0.0008668394897415927,-0.00035481599916963724
2017-01-30,-0.006027673496096654,-0.0061225057111210296
2017-01-31,-0.0008903016080325452,-0.005374202595887249
2017-02-01,0.00029831898811628964,0.0013507530459521602
2017-02-02,0.0005701468386910137,-0.0003031637026180582
2017-02-03,0.007238496854553608,0.009337791779184005
2017-02-06,-0.002117597513709103,-0.0009491114342154254
2017-02-07,0.00022680346384577153,0.0018867262731779644
2017-02-08,0.0006930821486096318,-0.0017909857103557906
2017-02-09,0.00573606373596025,0.005869771458516469
2017-02-10,0.0035597068220090916,0.004795484319985486
2017-02-13,0.005232133584011204,0.007019972183332041
2017-02-14,0.003999327195672579,0.0045091832283730305
2017-02-15,0.00497988866573445,0.0052266153801704685
2017-02-16,-0.0008644916015501692,0.0003836936137075131
2017-02-17,0.001677149327237158,0.00020760686003084788
2017-02-21,0.0060298500200691545,0.005750931929614531
2017-02-22,-0.001082786146804093,0.0015703620247807268
2017-02-23,0.00041889897125923353,0.0016698301376026753
2017-02-24,0.0014922502320316529,0.0005495499331972801
2017-02-27,0.0010174652677336642,0.0007527599442356198
2017-02-28,-0.0025817061151949088,-0.0012100559722845747
2017-03-01,0.013581211083725323,0.014468486447220588
2017-03-02,-0.0058771169721052695,-0.005345883106578947
2017-03-03,0.0005037503685347897,0.00013046038446669423
2017-03-06,-0.0032826227635658124,-0.0024485727953061755
2017-03-07,-0.0029176259020898777,-0.0014126417864742883
2017-03-08,-0.002286827964063899,-0.0033043824664736924
2017-03-09,0.0007995756127663866,0.00011789754510987643
2017-03-10,0.0032633397058585423,0.0021451043102565007
2017-03-13,0.0003665656191696328,-0.0010290907871030638
2017-03-14,-0.003384748980891005,-0.002114696113465468
2017-03-15,0.008339879124686365,0.0053954329177565855
2017-03-16,-0.0016280347991836145,-0.0007424595260677796
2017-03-17,-0.0013151792642314352,-0.0009525465938407738
2017-03-20,-0.0020119160803802947,-0.00041892231098387744
2017-03-21,-0.012485594590102116,-0.011442389625471441
2017-03-22,0.0018881028474626675,-0.0003246598767390982
2017-03-23,-0.001060832144830083,-0.0002285065471584756
2017-03-24,-0.0008443522139384829,-0.0029020425457815732
2017-03-27,-0.0010201075858456302,-0.002223222776117438
2017-03-28,0.007225308829623951,0.007297510235279294
2017-03-29,0.0010847362038301697,-0.002039596981077678
2017-03-30,0.0029308109117050134,0.003342529375732018
